latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
34.431,-118.645,297.1,0.4,0.4,2016-05-01,0935,N,VIIRS,n,1.0NRT,282.1,0,N
34.318,-118.51,295.2,0.4,0.4,2016-03-24,0950,N,VIIRS,n,1.0NRT,282.8,0,N
34.401,-118.997,296.4,0.4,0.4,2016-03-24,0950,N,VIIRS,n,1.0NRT,281.2,0,N
34.321,-118.509,298.8,0.4,0.4,2016-03-24,0950,N,VIIRS,n,1.0NRT,282.3,0,N
34.334,-118.52,303.4,0.4,0.4,2016-03-24,0950,N,VIIRS,n,1.0NRT,280.9,0,N
34.337,-118.519,295.3,0.4,0.4,2016-03-24,0950,N,VIIRS,n,1.0NRT,281.7,0,N
34.292,-118.802,303,0.4,0.4,2016-04-10,0930,N,VIIRS,n,1.0NRT,281.5,0,N
34.334,-118.52,298.3,0.4,0.6,2016-03-22,1025,N,VIIRS,n,1.0NRT,279.1,0,N
34.314,-119.186,347.2,0.4,0.4,2016-05-12,2050,N,VIIRS,n,1.0NRT,309.4,0,D
34.319,-118.513,299.3,0.4,0.5,2016-03-23,1005,N,VIIRS,n,1.0NRT,280.1,0,N
34.333,-118.518,299.6,0.4,0.5,2016-03-23,1005,N,VIIRS,n,1.0NRT,278.9,0,N
34.318,-118.512,297.6,0.4,0.4,2016-05-12,0930,N,VIIRS,n,1.0NRT,285.4,0,N
34.324,-118.525,298.8,0.4,0.4,2016-05-12,0930,N,VIIRS,n,1.0NRT,285.9,0,N
34.334,-118.519,313.3,0.4,0.4,2016-05-12,0930,N,VIIRS,n,1.0NRT,285.5,0,N
34.429,-118.643,297.4,0.4,0.4,2016-05-12,0930,N,VIIRS,n,1.0NRT,285,0,N
34.82,-118.748,298.9,0.4,0.4,2016-05-12,0930,N,VIIRS,n,1.0NRT,288,0,N
34.292,-118.8,301.7,0.4,0.4,2016-05-12,0930,N,VIIRS,n,1.0NRT,284.3,0,N
34.357,-119.301,343.6,0.5,0.7,2016-04-28,2155,N,VIIRS,n,1.0NRT,296.2,0,D
34.357,-119.306,367,0.5,0.7,2016-04-28,2155,N,VIIRS,n,1.0NRT,304.2,0,D
35.228,-118.827,339.6,0.5,0.4,2016-04-16,2035,N,VIIRS,n,1.0NRT,309.4,0,D
34.291,-118.802,297.2,0.4,0.5,2016-04-16,0920,N,VIIRS,n,1.0NRT,281.7,0,N
34.319,-118.512,300.3,0.4,0.5,2016-04-16,0920,N,VIIRS,n,1.0NRT,284.1,0,N
34.336,-118.518,298.6,0.4,0.5,2016-04-16,0920,N,VIIRS,n,1.0NRT,284,0,N
34.375,-118.987,339.6,0.5,0.4,2016-03-31,2035,N,VIIRS,n,1.0NRT,299.9,0,D
34.321,-118.513,297.1,0.4,0.5,2016-03-31,0915,N,VIIRS,n,1.0NRT,278.1,0,N
34.334,-118.52,298.8,0.4,0.5,2016-03-31,0915,N,VIIRS,n,1.0NRT,277.6,0,N
34.335,-118.518,298.5,0.5,0.7,2016-04-28,1035,N,VIIRS,n,1.0NRT,279.2,0,N
34.331,-119.615,296.2,0.4,0.4,2016-05-22,0945,N,VIIRS,n,1.0NRT,285.8,0,N
34.319,-118.511,295.9,0.4,0.4,2016-05-22,0945,N,VIIRS,n,1.0NRT,279.7,0,N
34.334,-118.52,295.7,0.4,0.4,2016-05-22,0945,N,VIIRS,n,1.0NRT,279.5,0,N
34.818,-118.75,296.8,0.4,0.4,2016-05-22,0945,N,VIIRS,n,1.0NRT,279.7,0,N
34.354,-119.422,296.5,0.5,0.7,2016-04-17,1040,N,VIIRS,n,1.0NRT,284.5,0,N
35.069,-118.88,343.8,0.4,0.6,2016-04-02,2140,N,VIIRS,n,1.0NRT,309.6,0,D
34.336,-118.52,295.6,0.6,0.5,2016-04-02,1020,N,VIIRS,n,1.0NRT,282.5,0,N
34.292,-118.803,295.8,0.4,0.6,2016-04-17,0900,N,VIIRS,n,1.0NRT,282.9,0,N
34.321,-118.513,298.3,0.4,0.6,2016-04-17,0900,N,VIIRS,n,1.0NRT,285.6,0,N
34.318,-118.512,296.4,0.4,0.6,2016-04-17,0900,N,VIIRS,n,1.0NRT,286.3,0,N
35.071,-119.012,340.5,0.4,0.4,2016-04-20,2100,N,VIIRS,n,1.0NRT,312.9,0,D
34.29,-118.801,295.2,0.4,0.4,2016-04-20,0945,N,VIIRS,n,1.0NRT,282.3,0,N
34.319,-118.512,299.2,0.4,0.4,2016-04-20,0945,N,VIIRS,n,1.0NRT,284.9,0,N
34.334,-118.518,308,0.4,0.4,2016-04-20,0945,N,VIIRS,n,1.0NRT,284.6,0,N
34.431,-118.643,297.9,0.4,0.4,2016-04-20,0945,N,VIIRS,n,1.0NRT,282.5,0,N
35.152,-119.332,299.3,0.4,0.4,2016-04-20,0945,N,VIIRS,n,1.0NRT,283.7,0,N
35.154,-119.329,295.9,0.4,0.4,2016-04-20,0945,N,VIIRS,n,1.0NRT,283.8,0,N
34.313,-119.266,302.1,0.5,0.4,2016-04-26,0930,N,VIIRS,n,1.0NRT,281.5,0,N
34.292,-118.801,295.8,0.4,0.4,2016-04-26,0930,N,VIIRS,n,1.0NRT,278.5,0,N
34.319,-118.51,304.6,0.4,0.4,2016-04-26,0930,N,VIIRS,n,1.0NRT,281.1,0,N
34.335,-118.521,309.7,0.4,0.4,2016-04-26,0930,N,VIIRS,n,1.0NRT,279.5,0,N
34.43,-118.646,299.2,0.4,0.4,2016-04-26,0930,N,VIIRS,n,1.0NRT,282.4,0,N
34.334,-118.52,301.2,0.5,0.4,2016-06-08,0925,N,VIIRS,n,1.0NRT,283.5,0,N
35.255,-119.293,301.8,0.5,0.4,2016-06-08,0925,N,VIIRS,n,1.0NRT,274.3,0,N
35.255,-119.292,301.5,0.5,0.4,2016-06-08,0925,N,VIIRS,n,1.0NRT,271.6,0,N
34.292,-118.803,303,0.4,0.4,2016-04-14,0955,N,VIIRS,n,1.0NRT,283.1,0,N
34.292,-118.8,302.1,0.4,0.4,2016-04-14,0955,N,VIIRS,n,1.0NRT,282.9,0,N
34.319,-118.509,303.5,0.4,0.4,2016-04-14,0955,N,VIIRS,n,1.0NRT,283.1,0,N
34.335,-118.52,304.1,0.4,0.4,2016-04-14,0955,N,VIIRS,n,1.0NRT,283.4,0,N
34.43,-118.642,297.1,0.4,0.4,2016-04-14,0955,N,VIIRS,n,1.0NRT,282.2,0,N
35.154,-119.33,295.4,0.4,0.4,2016-04-14,0955,N,VIIRS,n,1.0NRT,280.6,0,N
34.319,-118.51,306.5,0.4,0.4,2016-04-25,0950,N,VIIRS,n,1.0NRT,281.3,0,N
34.32,-118.512,302.8,0.4,0.4,2016-04-25,0950,N,VIIRS,n,1.0NRT,280.8,0,N
34.334,-118.517,310.4,0.4,0.4,2016-04-25,0950,N,VIIRS,n,1.0NRT,281.5,0,N
34.43,-118.646,296.5,0.4,0.4,2016-04-25,0950,N,VIIRS,n,1.0NRT,281,0,N
35.153,-119.33,297.5,0.4,0.4,2016-04-25,0950,N,VIIRS,n,1.0NRT,281.5,0,N
34.334,-118.521,296.7,0.4,0.6,2016-04-23,1025,N,VIIRS,n,1.0NRT,281.1,0,N
34.322,-119.343,295,0.4,0.4,2016-04-15,0935,N,VIIRS,n,1.0NRT,284.9,0,N
34.291,-118.804,301.9,0.4,0.4,2016-04-15,0935,N,VIIRS,n,1.0NRT,279.4,0,N
34.336,-118.52,298.5,0.4,0.4,2016-04-15,0935,N,VIIRS,n,1.0NRT,278.5,0,N
